NIF,Razón social,Comunidad,Provincia,Localidad,Último año con cuentas,Tipos de cuentas,Sector Infocif,Estado
B06621692,AGROGESTION Y CONSULTORA MEDIOAMBIENTAL SL,Extremadura,Badajoz,Llerena,0,Individuales,"Agricultura, ganadería y pesca",-
B06726822,AGROGUADIEX SL,Extremadura,Badajoz,Villanueva de la Serena,0,Individuales,"Agricultura, ganadería y pesca",-
B10333201,AGROHABITAT AL-QAZERES SL,Extremadura,Cáceres,Cáceres,0,,"Agricultura, ganadería y pesca",-
B10458131,AGROHURGAT SL,Extremadura,Cáceres,Torrecilla de los Ángeles,0,Individuales,Construcción y Desarrollo,-
B06605091,AGROIBERICA DE CACAHUETES SL,Extremadura,Badajoz,Don Benito,0,Individuales,Minoristas (excepto alimentos y medicamentos),-
B06672406,AGROIBERICOS DEL SUR 2015 SL,Extremadura,Badajoz,Azuaga,0,Individuales,,-
B06740260,AGROIBERICOS DIES SL,Extremadura,Badajoz,Burguillos del Cerro,0,Individuales,Minoristas de alimentos / medicamentos,-
A06065858,AGROINDUSTRIA OLIVENTINA SA,Extremadura,Badajoz,Olivenza,0,,,-
B06697445,AGROINDUSTRIAL VALDIVIA SL,Extremadura,Badajoz,Villanueva de la Serena,0,Individuales,"Agricultura, ganadería y pesca",-
B10486777,AGROINDUSTRIALES PLANTAS Y FRUTAS GALLEGO SL,Extremadura,Cáceres,Jerte,0,Individuales,"Agricultura, ganadería y pesca",-
B06430185,AGROINDUSTRIAS DEL SUROESTE SL,Extremadura,Badajoz,Don Benito,0,Individuales,Inmobiliarias y similares,-
B10116325,AGROINDUSTRIAS EL PUERTO SL,Extremadura,Cáceres,Cáceres,0,,,-
B10145308,AGROINDUSTRIAS FEAGA SL,Extremadura,Cáceres,Casar de Cáceres,0,Individuales,,-
A10051290,AGROINDUSTRIAS LA FE SA,Extremadura,Cáceres,Cáceres,0,,,-
B10294270,AGROINDUSTRIAS PAISA SL,Extremadura,Cáceres,Cáceres,0,,,-
B06547053,AGROINGAS SL,Extremadura,Badajoz,"Zarza, La",0,Individuales,Inmobiliarias y similares,-
B06541304,AGROINGENIERIA DEL SUR SL,Extremadura,Badajoz,"Zarza, La",0,Individuales,Gobierno / Estado,-
B10359529,AGROINGENIERIA EXTREMEÑA SL,Extremadura,Cáceres,Plasencia,0,,Minoristas (excepto alimentos y medicamentos),-
B06594774,AGROINNOVACION DE EXTREMADURA SL,Extremadura,Badajoz,Badajoz,0,,"Agricultura, ganadería y pesca",-
A82377409,AGROINTABEX SA,Extremadura,Cáceres,Cáceres,0,,,-
B06314728,AGROINTEGRAL SUROESTE 21 SL,Extremadura,Badajoz,Badajoz,0,,,-
B06463095,AGROINVERSIONES EL RINCON SL,Extremadura,Badajoz,Badajoz,0,Individuales,"Agricultura, ganadería y pesca",-
B06425904,AGROINVERSIONES HERMANOS SAEZ SL,Extremadura,Badajoz,Badajoz,2019,Individuales,"Agricultura, ganadería y pesca",-
B10298057,AGROJARDIN FRANPA SL,Extremadura,Cáceres,Malpartida de Cáceres,0,Individuales,Equipos y servicios comerciales,-
B06700231,AGROJESAN SL,Extremadura,Badajoz,Corte de Peleas,0,Individuales,"Agricultura, ganadería y pesca",-
B06414684,AGROLAB DON BENITO SL,Extremadura,Badajoz,Don Benito,0,,SERVICO DE COMIDA,-
B10251437,AGROLEMUR SL,Extremadura,Cáceres,Cáceres,0,,,-
B10470508,AGROLEQUIA SL,Extremadura,Cáceres,Miajadas,0,Individuales,Productos alimenticios / Parafarmacia,-
B06453898,AGROLIVENZA SL,Extremadura,Badajoz,Olivenza,0,,"Agricultura, ganadería y pesca",-
B06611081,AGROLOGISTICA CORTES SL,Extremadura,Badajoz,"Garrovilla, La",0,,Transporte terrestre,-
B06622682,AGROLOGISTICA SARA Y JUAN ANTONIO SL,Extremadura,Badajoz,Villafranca de los Barros,0,,Transporte terrestre,-
B06687263,AGROMAC SERVICIOS AGRICOLAS EXTREMEÑOS SL,Extremadura,Badajoz,Badajoz,0,Individuales,Productos forestales,-
B06555478,AGROMACILLAS SL,Extremadura,Badajoz,Arroyo de San Serván,0,Individuales,"Agricultura, ganadería y pesca",-
B06716070,AGROMAES AMBIENTAL SL,Extremadura,Badajoz,Almendralejo,0,Individuales,"Agricultura, ganadería y pesca",-
A06032080,AGROMALVA SA,Extremadura,Badajoz,Badajoz,0,Individuales,,-
B06618078,AGROMANGAS SL,Extremadura,Badajoz,Badajoz,0,Individuales,"Agricultura, ganadería y pesca",-
B06756365,AGROMAQUINARIA GC2020 SL,Extremadura,Badajoz,"Zarza, La",0,Individuales,Equipos industriales,-
B06237028,AGROMAQUINARIA MORUNO SL,Extremadura,Badajoz,Azuaga,0,Individuales,,-
B06742217,AGROMASERO SL,Extremadura,Badajoz,Navalvillar de Pela,0,,"Agricultura, ganadería y pesca",-
B10208866,AGROMATER SL,Extremadura,Cáceres,Cáceres,0,Individuales,,-
A86535648,AGROMAX ENERGIA CORPORACION AIE,Extremadura,Badajoz,Badajoz,0,,,-
B06598320,AGROMECANICA MARPA SL,Extremadura,Badajoz,Azuaga,0,Individuales,Automotor,-
B10296317,AGROMECANICA PAYMA SL,Extremadura,Cáceres,Brozas,0,Individuales,Automotor,-
B06256259,AGROMERYPE SL,Extremadura,Badajoz,Badajoz,0,,,-
B10434413,AGROMIAJADAS SL,Extremadura,Cáceres,Miajadas,0,Individuales,"Agricultura, ganadería y pesca",-
B06558753,AGROMILLORA RESEARCH SL,Extremadura,Badajoz,Almendralejo,0,Individuales,Minoristas (excepto alimentos y medicamentos),-
B10453538,AGROMINES GLOBAL TRADING SL,Extremadura,Cáceres,Plasencia,0,Individuales,"Agricultura, ganadería y pesca",-
B06536213,AGROMOLYSAM SL,Extremadura,Badajoz,Santa Amalia,0,Individuales,Inmobiliarias y similares,-
B06739353,AGROMOSAN SL,Extremadura,Badajoz,Aceuchal,0,Individuales,Productos alimenticios / Parafarmacia,-
B06266480,AGRONATURA SERVICIOS FORESTALES Y AGRARIOS SL,Extremadura,Badajoz,Badajoz,0,Individuales,,-
B06741870,AGRONEGOCIOS DEHESA EL CAÑO SL,Extremadura,Badajoz,Higuera la Real,0,,"Agricultura, ganadería y pesca",-
B06710529,AGRONEX DEHESA DE ALCORCON SL,Extremadura,Badajoz,Peraleda del Zaucejo,0,Individuales,"Agricultura, ganadería y pesca",-
A10021186,AGROOESTE SA,Extremadura,Cáceres,Cáceres,0,,,-
B06738785,AGROPAC-EXTREMADURA SL,Extremadura,Badajoz,Mérida,0,Individuales,Consultoría empresarial y otros,-
B06400857,AGROPALCAN SL,Extremadura,Badajoz,Oliva de la Frontera,0,,"Agricultura, ganadería y pesca",-
B06728315,AGROPAREJO SL,Extremadura,Badajoz,Villanueva de la Serena,0,Individuales,"Agricultura, ganadería y pesca",-
B06245963,AGROPARRA SL,Extremadura,Badajoz,Bienvenida,0,,,-
B06689251,AGROPARRABENITEZ SL,Extremadura,Badajoz,Solana de los Barros,0,Individuales,"Agricultura, ganadería y pesca",-
B06423453,AGROPECUARIA 55 SL,Extremadura,Badajoz,Almendral,0,Individuales,Inmobiliarias y similares,-
B10180842,AGROPECUARIA AGROPAZ SL,Extremadura,Cáceres,Rosalejo,0,Individuales,,-
B06694509,AGROPECUARIA ALAGUA SL,Extremadura,Badajoz,Badajoz,0,Individuales,"Agricultura, ganadería y pesca",-
B10201259,AGROPECUARIA ALCORNOCOSA SL,Extremadura,Cáceres,Cáceres,0,Individuales,,-
B06430177,AGROPECUARIA ALHAMBRA SL,Extremadura,Badajoz,Don Benito,0,Individuales,Inmobiliarias y similares,-
B06507032,AGROPECUARIA ALQUEVA SL,Extremadura,Badajoz,Villanueva del Fresno,0,,Bebidas y otros productos para el consumo,-
B06630875,AGROPECUARIA ALVAROCHI SL,Extremadura,Badajoz,Villalba de los Barros,0,Individuales,Construcción y Desarrollo,-
B06740617,AGROPECUARIA AMBRONA SL,Extremadura,Badajoz,Monesterio,0,Individuales,"Agricultura, ganadería y pesca",-
B06721682,AGROPECUARIA ANTONELI SL,Extremadura,Badajoz,"Albuera, La",0,Individuales,"Agricultura, ganadería y pesca",-
B06525257,AGROPECUARIA AR-5 SL,Extremadura,Badajoz,Zafra,0,Individuales,"Agricultura, ganadería y pesca",-
B06274914,AGROPECUARIA ARAYME SL,Extremadura,Badajoz,Badajoz,0,Individuales,,-
B06674790,AGROPECUARIA BADAJOZ SL,Extremadura,Badajoz,Badajoz,0,Individuales,Minoristas (excepto alimentos y medicamentos),-
B10355501,AGROPECUARIA BARRANTES SL,Extremadura,Cáceres,Cáceres,0,,Productos alimenticios / Parafarmacia,-
B06673552,AGROPECUARIA BAYON BARROSO SL,Extremadura,Badajoz,Fuente de Cantos,0,Individuales,Inmobiliarias y similares,-
B06739577,AGROPECUARIA BEJARANO SALGUERO SL,Extremadura,Badajoz,Santa Marta,0,,"Agricultura, ganadería y pesca",-
B10490837,AGROPECUARIA BRASILIA HGG 2018 SL,Extremadura,Cáceres,Navalmoral de la Mata,0,Individuales,"Agricultura, ganadería y pesca",-
B10347300,AGROPECUARIA CACHIPORRO SL,Extremadura,Cáceres,Cáceres,0,Individuales,Inmobiliarias y similares,-
B06392625,AGROPECUARIA CALVI SL,Extremadura,Badajoz,Badajoz,0,Individuales,Productos forestales,-
B06730808,AGROPECUARIA CAMINO SANTOS SL,Extremadura,Badajoz,Fuente del Maestre,0,Individuales,"Agricultura, ganadería y pesca",-
B10181840,AGROPECUARIA CAMPO ARAÑUELO SL,Extremadura,Cáceres,Cáceres,0,,,-
B06445159,AGROPECUARIA CAMPO VERDE SL,Extremadura,Badajoz,Zafra,2014,Individuales,,-
B06444681,AGROPECUARIA CAMPOAMENO SL,Extremadura,Badajoz,Mérida,0,,"Agricultura, ganadería y pesca",-
B06710420,AGROPECUARIA CAMPOS DE MARINA SL,Extremadura,Badajoz,Campanario,0,Individuales,,-
B06638894,AGROPECUARIA CARO MARTINEZ SL,Extremadura,Badajoz,Llera,0,Individuales,"Agricultura, ganadería y pesca",-
B06720809,AGROPECUARIA CARRIZOSA MORENO SL,Extremadura,Badajoz,Azuaga,0,Individuales,"Agricultura, ganadería y pesca",-
B10180834,AGROPECUARIA CASTRO GAMONAL SL,Extremadura,Cáceres,Navalmoral de la Mata,0,Individuales,,-
B10185551,AGROPECUARIA CAURIENSE SL,Extremadura,Cáceres,Cáceres,0,Individuales,Utilities / Servicios de utilidad pública,-
B06577142,AGROPECUARIA CEBADALES SL,Extremadura,Badajoz,Villanueva del Fresno,0,Individuales,"Agricultura, ganadería y pesca",-
A10292647,AGROPECUARIA CERRO CHOZO SA,Extremadura,Cáceres,Cedillo,0,,Minoristas de alimentos / medicamentos,-
B10491108,AGROPECUARIA CERRO VERDE SL,Extremadura,Cáceres,Cáceres,0,Individuales,"Agricultura, ganadería y pesca",-
B06294003,AGROPECUARIA CORDERO SL,Extremadura,Badajoz,Badajoz,0,Individuales,,-
B10469856,AGROPECUARIA CORTES PEREZ SL,Extremadura,Cáceres,Casar de Cáceres,0,Individuales,"Agricultura, ganadería y pesca",-
A78591500,AGROPECUARIA CORTIJEROS SA,Extremadura,Cáceres,Hervás,0,Individuales,,-
B06213227,AGROPECUARIA DE ALOR SL,Extremadura,Badajoz,Olivenza,0,Individuales,,-
A10019412,AGROPECUARIA DE CILLEROS SA,Extremadura,Cáceres,Cáceres,0,,,-
A78069002,AGROPECUARIA DE LA CUESTA SA,Extremadura,Cáceres,Aliseda,0,Individuales,,-
A06025175,AGROPECUARIA DE LA DIPUTACION SA,Extremadura,Badajoz,Don Benito,0,,,-
B06398101,AGROPECUARIA DE MONESTERIO SL,Extremadura,Badajoz,Badajoz,0,Individuales,Productos alimenticios / Parafarmacia,-
B10262061,AGROPECUARIA DE MONFRAGUE SL,Extremadura,Cáceres,Cáceres,0,Individuales,,-
B10195642,AGROPECUARIA DE TORREMOCHA SL,Extremadura,Cáceres,Cáceres,0,,,-
B81469538,AGROPECUARIA DEL FRESNO SL,Extremadura,Badajoz,Badajoz,0,Individuales,,-
A28327021,AGROPECUARIA DEL OESTE SA,Extremadura,Cáceres,Alía,0,Individuales,,-
B06221832,AGROPECUARIA DON BERNARDO SL,Extremadura,Badajoz,Monterrubio de la Serena,0,Individuales,,-
B06251524,AGROPECUARIA DON BLASCO SL,Extremadura,Badajoz,Llerena,0,Individuales,,-
B10386159,AGROPECUARIA EL AHIJON SL,Extremadura,Cáceres,Cáceres,0,,Productos alimenticios / Parafarmacia,-
B06451942,AGROPECUARIA EL ALBEITAR SL,Extremadura,Badajoz,Fuente de Cantos,0,Individuales,"Agricultura, ganadería y pesca",-
B06365662,AGROPECUARIA EL CASAR DE FERIA SL,Extremadura,Badajoz,Badajoz,0,Individuales,,-
B06555460,AGROPECUARIA EL CHATO SL,Extremadura,Badajoz,Badajoz,0,Individuales,"Agricultura, ganadería y pesca",-
B06303937,AGROPECUARIA EL CHORLITO SL,Extremadura,Badajoz,Badajoz,0,,,-
F06276901,AGROPECUARIA EL COTO SAT,Extremadura,Badajoz,Puebla del Prior,0,,,-
B40155475,AGROPECUARIA EL ENCINAR SL,Extremadura,Badajoz,Badajoz,0,Individuales,"Agricultura, ganadería y pesca",-
B06360788,AGROPECUARIA EL GUAPERO SL,Extremadura,Badajoz,Usagre,0,Individuales,,-
B06735013,AGROPECUARIA EL MAESTRE SL,Extremadura,Badajoz,Puebla del Maestre,0,,"Agricultura, ganadería y pesca",-
B10260297,AGROPECUARIA EL NOQUE SL,Extremadura,Cáceres,Cáceres,0,Individuales,,-
B10419257,AGROPECUARIA EL PARRAL SL,Extremadura,Cáceres,Cáceres,0,Individuales,"Agricultura, ganadería y pesca",-
A10030096,AGROPECUARIA EL PECO SA,Extremadura,Cáceres,Cáceres,0,Individuales,,-
B06739379,AGROPECUARIA EL PICO SL,Extremadura,Badajoz,"Morera, La",0,Individuales,"Agricultura, ganadería y pesca",-
A96835251,AGROPECUARIA EL RETORNO SA,Extremadura,Badajoz,Garbayuela,2019,Individuales,"Agricultura, ganadería y pesca",-
B06346027,AGROPECUARIA EL SALTILLO SL,Extremadura,Badajoz,Badajoz,0,Individuales,,-
B06504195,AGROPECUARIA EL TAMBORIL SL,Extremadura,Badajoz,Zafra,0,Individuales,Minoristas (excepto alimentos y medicamentos),-
B06486013,AGROPECUARIA EL TREBOL SL,Extremadura,Badajoz,Zafra,0,,Bebidas y otros productos para el consumo,-
B06273023,AGROPECUARIA EL ZARZOSO SL,Extremadura,Badajoz,Badajoz,0,Individuales,,-
B06613657,AGROPECUARIA ENCOR SL,Extremadura,Badajoz,Valle de Santa Ana,0,Individuales,"Agricultura, ganadería y pesca",-
B10393395,AGROPECUARIA EXTREMEÑA ALCARREÑA SL,Extremadura,Cáceres,Galisteo,0,,"Agricultura, ganadería y pesca",-
B06340145,AGROPECUARIA FERNANDA SL,Extremadura,Badajoz,Llerena,0,Individuales,,-
B10336733,AGROPECUARIA FINCA CASA DEL CUERVO SL,Extremadura,Cáceres,Cáceres,0,Individuales,Inmobiliarias y similares,-
B06340160,AGROPECUARIA FINCA TORRE SL,Extremadura,Badajoz,Badajoz,0,Individuales,,-
B06723670,AGROPECUARIA FLANDER SL,Extremadura,Badajoz,Almendralejo,0,Individuales,"Agricultura, ganadería y pesca",-
B10312247,AGROPECUARIA FORESTAL VEGA LAR SL,Extremadura,Cáceres,Cilleros,0,,,-
B06574388,AGROPECUARIA FUENTE ABAD SL,Extremadura,Badajoz,Usagre,0,Individuales,"Agricultura, ganadería y pesca",-
B06743421,AGROPECUARIA FUENTE SANTA SL,Extremadura,Badajoz,Olivenza,0,,Bebidas y otros productos para el consumo,-
B06724462,AGROPECUARIA FUENTES DE LA ROSA PEÑA SL,Extremadura,Badajoz,Castuera,0,Individuales,"Agricultura, ganadería y pesca",-
A06011043,AGROPECUARIA GADEL SA,Extremadura,Badajoz,Badajoz,0,Individuales,,-
A06062681,AGROPECUARIA GARCIA ESPINOSA SA,Extremadura,Badajoz,Badajoz,0,Individuales,,-
B06120984,AGROPECUARIA GARCIA PORRAS SL,Extremadura,Badajoz,Badajoz,0,Individuales,,-
B10210219,AGROPECUARIA GARCILUNA SL,Extremadura,Cáceres,Saucedilla,0,Individuales,,-
B06721500,AGROPECUARIA GRAGERA RUBIO SL,Extremadura,Badajoz,Puebla de la Calzada,0,Individuales,"Agricultura, ganadería y pesca",-
B06644827,AGROPECUARIA GUADAJIRA SL,Extremadura,Badajoz,Fuente del Maestre,0,Individuales,Inmobiliarias y similares,-
B06581383,AGROPECUARIA GUILLEN 2010 SL,Extremadura,Badajoz,Badajoz,0,,Inmobiliarias y similares,-
B06213532,AGROPECUARIA HEGOMAR SL,Extremadura,Badajoz,Badajoz,0,Individuales,,-
B06508428,AGROPECUARIA HERMANOS BRITO SL,Extremadura,Badajoz,Higuera la Real,0,,"Agricultura, ganadería y pesca",-
B10385383,AGROPECUARIA HERMANOS DIAZ SANCHEZ SL,Extremadura,Cáceres,Trujillo,0,,"Agricultura, ganadería y pesca",-
A06388615,AGROPECUARIA HERMANOS GALLARDO SA,Extremadura,Badajoz,Badajoz,0,Individuales,Inmobiliarias y similares,-
B06293104,AGROPECUARIA HERMANOS LOZANO SL,Extremadura,Badajoz,Badajoz,0,Individuales,,-
B06635593,AGROPECUARIA HERMANOS PILAR MONTANERO SL,Extremadura,Badajoz,Ahillones,0,Individuales,"Agricultura, ganadería y pesca",-
B06312045,AGROPECUARIA HERMANOS VIVAS PINTADO SL,Extremadura,Badajoz,Badajoz,0,,,-
B10470409,AGROPECUARIA HERNANDEZ FERNANDEZ SL,Extremadura,Cáceres,Mirabel,0,Individuales,"Agricultura, ganadería y pesca",-
B06021372,AGROPECUARIA HERRADEROS SL,Extremadura,Badajoz,Badajoz,0,Individuales,,-
B06458079,AGROPECUARIA HNOS ANTUNEZ SL,Extremadura,Badajoz,Fuente de Cantos,0,Individuales,"Agricultura, ganadería y pesca",-
B06655484,AGROPECUARIA HUERTA BAJO SL,Extremadura,Badajoz,Zafra,0,Individuales,"Agricultura, ganadería y pesca",-
B06737332,AGROPECUARIA IBERICOS DEL GUADIATO SL,Extremadura,Badajoz,Puebla de Sancho Pérez,0,Individuales,"Agricultura, ganadería y pesca",-
B10459311,AGROPECUARIA JARAICEJO SL,Extremadura,Cáceres,Cáceres,0,Individuales,Inmobiliarias y similares,-
B06572317,AGROPECUARIA JEREZ GUTIERREZ SL,Extremadura,Badajoz,Montijo,0,Individuales,"Agricultura, ganadería y pesca",-
B06439855,AGROPECUARIA JULIAN TORRES SL,Extremadura,Badajoz,Salvatierra de los Barros,0,Individuales,"Agricultura, ganadería y pesca",-
B06439020,AGROPECUARIA LA ATALAYA SL,Extremadura,Badajoz,Valencia de las Torres,0,Individuales,"Agricultura, ganadería y pesca",-
B41647264,AGROPECUARIA LA CHARCA SL,Extremadura,Badajoz,Azuaga,0,,,-
B10257723,AGROPECUARIA LA DEHESILLA 2000 SL,Extremadura,Cáceres,Cáceres,0,Individuales,,-
B06512628,AGROPECUARIA LA GERTI SL,Extremadura,Badajoz,Azuaga,0,Individuales,"Agricultura, ganadería y pesca",-
B06533624,AGROPECUARIA LA JULIA SL,Extremadura,Badajoz,Jerez de los Caballeros,0,,Inmobiliarias y similares,-
B06556286,AGROPECUARIA LA MANCHUELA SL,Extremadura,Badajoz,Oliva de Mérida,0,Individuales,Inmobiliarias y similares,-
B06357354,AGROPECUARIA LA MORERA SL,Extremadura,Badajoz,Badajoz,0,Individuales,,-
B06672414,AGROPECUARIA LA OSA SL,Extremadura,Badajoz,Puebla de la Reina,0,Individuales,"Agricultura, ganadería y pesca",-
B06465389,AGROPECUARIA LA PEPA SL,Extremadura,Badajoz,Badajoz,0,Individuales,"Agricultura, ganadería y pesca",-
B10441616,AGROPECUARIA LA PIZARRA SL,Extremadura,Cáceres,Torremocha,0,Individuales,"Agricultura, ganadería y pesca",-
B06399315,AGROPECUARIA LA SERENA SL,Extremadura,Badajoz,Monterrubio de la Serena,0,,Inmobiliarias y similares,-
B06420475,AGROPECUARIA LA SIERRECILLA SL,Extremadura,Badajoz,Santa Amalia,0,Individuales,Inmobiliarias y similares,-
B06404305,AGROPECUARIA LA TROCHA SL,Extremadura,Badajoz,Badajoz,0,,Inmobiliarias y similares,-
B10460939,AGROPECUARIA LA VELOZ SL,Extremadura,Cáceres,Jaraicejo,0,,"Agricultura, ganadería y pesca",-
B06653174,AGROPECUARIA LA VENTA SL,Extremadura,Badajoz,Zafra,0,Individuales,Productos alimenticios / Parafarmacia,-
A78159928,AGROPECUARIA LA WAMBA SA,Extremadura,Cáceres,Peraleda de la Mata,0,Individuales,,-
B06284624,AGROPECUARIA LADERA DE LA PIEDAD SL,Extremadura,Badajoz,Villagonzalo,0,,,-
B06430417,AGROPECUARIA LAS 3 JOTAS SL,Extremadura,Badajoz,Mirandilla,0,,"Agricultura, ganadería y pesca",-
B06639652,AGROPECUARIA LAS ALEGRIAS SL,Extremadura,Badajoz,Zafra,0,Individuales,"Agricultura, ganadería y pesca",-
A79344677,AGROPECUARIA LAS ALTURAS SA,Extremadura,Cáceres,Plasencia,0,Individuales,,-
B06665723,AGROPECUARIA LAS CABEZAS SL,Extremadura,Badajoz,Castuera,0,Individuales,"Agricultura, ganadería y pesca",-
B06559975,AGROPECUARIA LAS LAGUNILLAS SL,Extremadura,Badajoz,Villalba de los Barros,2016,Individuales,"Agricultura, ganadería y pesca",-
B28922714,AGROPECUARIA LAS LAGUNILLAS Y BONAL SL,Extremadura,Badajoz,Aljucén,0,Individuales,,-
B10499770,AGROPECUARIA LAS MILANERAS SL,Extremadura,Cáceres,Cáceres,0,,Inmobiliarias y similares,-
B06668735,AGROPECUARIA LAS MOROSINAS SL,Extremadura,Badajoz,Casas de Reina,0,Individuales,"Agricultura, ganadería y pesca",-
B06392005,AGROPECUARIA LAS NATERAS SL,Extremadura,Badajoz,Entrín Bajo,0,Individuales,"Agricultura, ganadería y pesca",-
B06364327,AGROPECUARIA LORENZANA SL,Extremadura,Badajoz,Badajoz,0,,,-
B10298669,AGROPECUARIA LOS ALIANOS SL,Extremadura,Cáceres,Alía,0,,"Agricultura, ganadería y pesca",-
B06510382,AGROPECUARIA LOS BERRIZ SL,Extremadura,Badajoz,Badajoz,0,Individuales,Inmobiliarias y similares,-
B06746259,AGROPECUARIA LOS CUELLOS SL,Extremadura,Badajoz,Salvatierra de los Barros,0,Individuales,"Agricultura, ganadería y pesca",-
B06453864,AGROPECUARIA LOS VUELOS SL,Extremadura,Badajoz,Mérida,0,,"Agricultura, ganadería y pesca",-
B06514020,AGROPECUARIA LUNA GARCIA SL,Extremadura,Badajoz,Usagre,0,Individuales,Minoristas (excepto alimentos y medicamentos),-
B06555577,AGROPECUARIA MANOS GRANDES SL,Extremadura,Badajoz,Montijo,0,,"Agricultura, ganadería y pesca",-
B10181857,AGROPECUARIA MASA PUERTO SL,Extremadura,Cáceres,Cáceres,0,Individuales,,-
B10205912,AGROPECUARIA MASA Y MASA SL,Extremadura,Cáceres,Cáceres,0,,,-
B06321699,AGROPECUARIA MATALIEBRE SL,Extremadura,Badajoz,Villalba de los Barros,0,Individuales,,-
B06746499,AGROPECUARIA MATIAS ROMERO SL,Extremadura,Badajoz,Monterrubio de la Serena,0,,Inmobiliarias y similares,-
B06738488,AGROPECUARIA MAUNA LOA SL,Extremadura,Badajoz,Badajoz,0,Individuales,Productos forestales,-
B06726079,AGROPECUARIA MEDINA DE VALDETORRE SL,Extremadura,Badajoz,Valdetorres,0,Individuales,"Agricultura, ganadería y pesca",-
B06279228,AGROPECUARIA MEJIAS SL,Extremadura,Badajoz,Zafra,0,Individuales,,-
B06517833,AGROPECUARIA MIMBRES SL,Extremadura,Badajoz,Entrín Bajo,0,Individuales,Consultoría empresarial y otros,-
B10417764,AGROPECUARIA MINGOHERNANDO SL,Extremadura,Cáceres,Malpartida de Plasencia,0,,"Agricultura, ganadería y pesca",-
B06467526,AGROPECUARIA MORENO GUILLEN SL,Extremadura,Badajoz,Badajoz,0,Individuales,"Agricultura, ganadería y pesca",-
A10037406,AGROPECUARIA MORENO MUÑOZ SA,Extremadura,Badajoz,Don Benito,0,Individuales,,-
A06101083,AGROPECUARIA MUNICIPAL DE GUAREÑA SA,Extremadura,Badajoz,Guareña,2019,Individuales,"Agricultura, ganadería y pesca",-
B10409910,AGROPECUARIA NIETO SL,Extremadura,Cáceres,Deleitosa,0,Individuales,Inmobiliarias y similares,-
B10180867,AGROPECUARIA NUEVO CARCABOSO SL,Extremadura,Cáceres,Cáceres,0,Individuales,,-
B06417554,AGROPECUARIA ORELLANA SL,Extremadura,Badajoz,Orellana la Vieja,0,,,-
B06535777,AGROPECUARIA PACENSE LA FLORIDA SL,Extremadura,Badajoz,Badajoz,0,,Productos forestales,-
B06343990,AGROPECUARIA PAREES SL,Extremadura,Badajoz,Badajoz,0,,,-
B06435044,AGROPECUARIA PARRA REDONDO SL,Extremadura,Badajoz,Fuente de Cantos,0,,"Agricultura, ganadería y pesca",-
B06722979,AGROPECUARIA PERALES DE ABAJO 2017 SL,Extremadura,Badajoz,Arroyo de San Serván,0,Individuales,"Agricultura, ganadería y pesca",-
B10181832,AGROPECUARIA RAMA SL,Extremadura,Cáceres,Cáceres,0,,,-
B06261663,AGROPECUARIA RASYBLAN SL,Extremadura,Badajoz,Fuente de Cantos,0,Individuales,,-
B06678809,AGROPECUARIA RISCO-PALOMAR SL,Extremadura,Badajoz,Fuente de Cantos,0,Individuales,"Agricultura, ganadería y pesca",-
B10388262,AGROPECUARIA RIVILLA DEL DIENTE SL,Extremadura,Cáceres,Cáceres,0,,"Agricultura, ganadería y pesca",-
B06207849,AGROPECUARIA ROBINA SL,Extremadura,Badajoz,Llerena,2019,Individuales,"Agricultura, ganadería y pesca",-
B06609176,AGROPECUARIA SAMAR SL,Extremadura,Badajoz,Valencia de las Torres,0,Individuales,"Agricultura, ganadería y pesca",-
B06732606,AGROPECUARIA SAN CRISTOBAL SL,Extremadura,Badajoz,Nogales,0,Individuales,Inmobiliarias y similares,-
B06213235,AGROPECUARIA SAN ENRIQUE SL,Extremadura,Badajoz,Badajoz,0,Individuales,,-
A28202141,AGROPECUARIA SAN LUCAS SA,Extremadura,Badajoz,Badajoz,0,Individuales,,-
B06312144,AGROPECUARIA SAN PEDRO SL,Extremadura,Badajoz,Llerena,0,Individuales,,-
B06611131,AGROPECUARIA SANCHEZ BENITO SL,Extremadura,Badajoz,"Roca de la Sierra, La",0,,"Agricultura, ganadería y pesca",-
B10476299,AGROPECUARIA SANCHEZ CARRASCO SL,Extremadura,Cáceres,Trujillo,0,Individuales,"Agricultura, ganadería y pesca",-
B14584734,AGROPECUARIA SANTAMARIA SL,Extremadura,Cáceres,Trujillo,0,Individuales,"Agricultura, ganadería y pesca",-
B06429864,AGROPECUARIA SAYAGO SL,Extremadura,Badajoz,Feria,0,Individuales,,-
B11367463,AGROPECUARIA SELECTIVA DE IBERICO SL,Extremadura,Badajoz,Badajoz,0,Individuales,"Agricultura, ganadería y pesca",-
B06515084,AGROPECUARIA SERRANILLO PELA SL,Extremadura,Badajoz,Valle de Santa Ana,0,Individuales,"Agricultura, ganadería y pesca",-
B10505147,AGROPECUARIA SIERRA BRAVA SL,Extremadura,Cáceres,Trujillo,0,,"Agricultura, ganadería y pesca",-
B06470132,AGROPECUARIA SIERRA CUMBRE SL,Extremadura,Badajoz,Retamal de Llerena,0,,Utilities / Servicios de utilidad pública,-
B06510390,AGROPECUARIA SIERRA JABALIEGA SL,Extremadura,Badajoz,Badajoz,0,Individuales,Inmobiliarias y similares,-
B06313118,AGROPECUARIA SIERRA JARA SL,Extremadura,Badajoz,Badajoz,0,,,-
